Course,Title,Term
CS 377,Communication and Ethical Issues in Computing,Spring 2019
CS 362,Computer Design,Spring 2019
CS 361,Systems Programming,Spring 2019
CS 342,Software Design,Spring 2019
CS 341,Programming Language Design and Implementation,Spring 2019
CS 301,Languages and Automata,Fall 2018
CS 261,Machine Organization,Fall 2018
CS 251,Data Structures,Fall 2018
CS 211,Programing Practicum,Fall 2018
CS 151,Mathematical Foundations of Computing,Spring 2018
CS 141,Program Design II,Spring 2018
CS 111,Program Design I,Fall 2017